,库名,库名,库名,,,标识,有默认,默认值,,可空,数据类型,,最长,最大字节数,数字精度,小数位,时间精度,,,,,,,,,,,,,,,
TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,COLUMN_GUID,COLUMN_PROPID,ORDINAL_POSITION,COLUMN_HASDEFAULT,COLUMN_DEFAULT,COLUMN_FLAGS,IS_NULLABLE,DATA_TYPE,TYPE_GUID,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,DESCRIPTION,AUTOINC_MIN,AUTOINC_MAX,AUTOINC_NEXT,AUTOINC_SEED,AUTOINC_INCREMENT
,,AbsenceApplications,PKAbsenceApplication,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AbsenceApplications,PKUser,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AbsenceApplications,ApplyTime,,,3,1,(getdate()),26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AbsenceApplications,AbsenceDate,,,4,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AbsenceApplications,AbsenceTimes,,,5,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AbsenceApplications,Reason,,,6,0,,10,NO,nvarchar,,900,1800,,,,,,,,,,,,,,,,,,
,,AbsenceApplications,PKApprover,,,7,1,('00000000-0000-0000-0000-000000000000'),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AbsenceApplications,ApproveTime,,,8,1,('1900-1-1'),26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AbsenceApplications,ApproveStatus,,,9,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AbsenceApplications,ApproveDescription,,,10,1,(''),10,NO,nvarchar,,900,1800,,,,,,,,,,,,,,,,,,
,,AbsenceApplications,DeleteStatus,,,11,1,"(0)
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AchievementCommissionRatioSettings,PKAchievementCommissionRatioSetting,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementCommissionRatioSettings,PKCompany,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementCommissionRatioSettings,PKFoowwRole,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementCommissionRatioSettings,CommissionMonth,,,4,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AchievementCommissionRatioSettings,CommissionPercent,,,5,0,,26,NO,numeric,,,,5,2,,,,,,,,,,,,,,,,
,,AchievementCommissionRatioSettings,GradeAmount,,,6,1,"0
	",26,NO,numeric,,,,12,2,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,PKAchievementCommissionSetting,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,PKCompany,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,CalculationType,,,3,1,"0
	",26,NO,smallint,,,,5,,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,CalculationMethod,,,4,1,"0
	",26,NO,smallint,,,,5,,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,IsRentCommissionIndependent,,,5,1,"0
	",26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,RentCommissionPercent,,,6,0,,122,YES,numeric,,,,5,2,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,ManagementCalculationMethod,,,7,1,"0
	",26,NO,smallint,,,,5,,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,DepartmentManagerCommissionRole,,,8,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementCommissionSettings,RegionManagerCommissionRole,,,9,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKAchievement,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKDealContract,,,2,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKBrokerageRecord,,,3,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKShareRatioRecord,,,4,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKUser,,,5,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKDepartment,,,6,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKDepartmentManager,,,7,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKRegion,,,8,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,PKRegionManager,,,9,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,Name,,,10,0,,10,NO,nvarchar,,10,20,,,,,,,,,,,,,,,,,,
,,Achievements,Description,,,11,0,,10,NO,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Achievements,ReceivableAmount,,,12,0,,26,NO,numeric,,,,12,2,,,,,,,,,,,,,,,,
,,Achievements,ReceivedAmount,,,13,0,,26,NO,numeric,,,,12,2,,,,,,,,,,,,,,,,
,,Achievements,AchievementDate,,,14,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,Achievements,CreateTime,,,15,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,Achievements,PKUserCreator,,,16,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Achievements,DeleteStatus,,,17,1,0,26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,PKAchievementShareRatioRecord,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,PKDealContract,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,PKUser,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,PKDepartment,,,4,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,PKDepartmentManager,,,5,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,PKRegion,,,6,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,PKRegionManager,,,7,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,Name,,,8,0,,10,NO,nvarchar,,10,20,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,SharePercent,,,9,0,,26,NO,numeric,,,,10,2,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,Description,,,10,0,,10,NO,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,PKUserOperater,,,11,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,OperationTime,,,12,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AchievementShareRatioRecords,DeleteStatus,,,13,1,0,26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AchievementShareRatioSettings,PKAchievementShareRatioSetting,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioSettings,PKCompany,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioSettings,TypeName,,,3,0,,10,NO,nvarchar,,10,20,,,,,,,,,,,,,,,,,,
,,AchievementShareRatioSettings,SharePercent,,,4,0,,26,NO,numeric,,,,5,2,,,,,,,,,,,,,,,,
,,AchievementShareRatioSettings,SortValue,,,5,1,0,26,NO,smallint,,,,5,,,,,,,,,,,,,,,,,
,,ApplicationLogs,PKApplicationLog,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,ApplicationLogs,PKBusiness,,,2,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,ApplicationLogs,BusinessType,,,3,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,ApplicationLogs,OperateType,,,4,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,ApplicationLogs,OperateTime,,,5,1,(getdate()),26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,ApplicationLogs,PkOperator,,,6,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,ApplicationLogs,Description,,,7,0,,106,YES,nvarchar,,2560,5120,,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,VisitCommentID,,,1,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,CustomerName,,,2,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,CustomerCellphone,,,3,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,ApproveStatus,,,4,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,CommentDescription,,,5,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,CommentGrade,,,6,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,CommentTag,,,7,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,AppID,,,8,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,PKHouseDeal,,,9,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,PKHouse,,,10,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,HouseType,,,11,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,PKUser,,,12,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AppointmentVisitComments,CreateTime,,,13,1,(GETDATE()),122,YES,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AppointmentVisitComments,UpdateTime,,,14,1,"(GETDATE())
",122,YES,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,Attachments,PKAttachment,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Attachments,PKObject,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Attachments,PKOperator,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Attachments,FileName,,,4,0,,10,NO,nvarchar,,1024,2048,,,,,,,,,,,,,,,,,,
,,Attachments,FileServerPath,,,5,0,,10,NO,nvarchar,,1024,2048,,,,,,,,,,,,,,,,,,
,,Attachments,FileSize,,,6,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Attachments,FileType,,,7,0,,10,NO,nvarchar,,16,32,,,,,,,,,,,,,,,,,,
,,Attachments,UploadTime,,,8,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,Attachments,BusinessType,,,9,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Attachments,HouseType,,,10,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Attachments,DeleteStatus,,,11,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Attachments,SecretStatus,,,12,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceLocations,PKAttendanceLocation,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceLocations,PKAttendanceRule,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceLocations,PKCompany,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceLocations,Address,,,4,1,(''),10,NO,nvarchar,,128,256,,,,,,,,,,,,,,,,,,
,,AttendanceLocations,Longitude,,,5,1,(0),26,NO,numeric,,,,12,7,,,,,,,,,,,,,,,,
,,AttendanceLocations,Latitude,,,6,1,"(0)
",26,NO,numeric,,,,12,7,,,,,,,,,,,,,,,,
,,AttendanceLocations,AddressName,,,7,1,(''),10,NO,nvarchar,,128,256,,,,,,,,,,,,,,,,,,
,,AttendancePlan,PKAttendancePlan,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendancePlan,WorkStartTime,,,2,0,,106,YES,nvarchar,,50,100,,,,,,,,,,,,,,,,,,
,,AttendancePlan,WorkEndTime,,,3,0,,106,YES,nvarchar,,50,100,,,,,,,,,,,,,,,,,,
,,AttendancePlan,DeleteStatus,,,4,1,((0)),122,YES,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendancePlan,PKCompany,,,5,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceRecord,PKAttendanceRecord,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceRecord,AttendanceDate,,,2,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AttendanceRecord,AttendanceState,,,3,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecord,ArriveLateTimeInMinutes,,,4,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecord,LeaveEarlyTimeInMinutes,,,5,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecord,Description,,,6,0,,106,YES,nvarchar,,512,1024,,,,,,,,,,,,,,,,,,
,,AttendanceRecord,DeleteStatus,,,7,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecord,PKUser,,,8,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceRecord,PKCompany,,,9,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
